video,exercise,ELBOW_ANGLE_left_min,ELBOW_ANGLE_left_max,ELBOW_ANGLE_right_min,ELBOW_ANGLE_right_max,ELBOW_PIN_left_min,ELBOW_PIN_left_max,ELBOW_PIN_right_min,ELBOW_PIN_right_max,TORSO_SWING_left_min,TORSO_SWING_left_max,TORSO_SWING_right_min,TORSO_SWING_right_max,ELBOW_FLARE_left_min,ELBOW_FLARE_left_max,ELBOW_FLARE_right_min,ELBOW_FLARE_right_max,WRIST_ANGLE_left_min,WRIST_ANGLE_left_max,WRIST_ANGLE_right_min,WRIST_ANGLE_right_max,WRIST_ELBOW_STACK_left_min,WRIST_ELBOW_STACK_left_max,WRIST_ELBOW_STACK_right_min,WRIST_ELBOW_STACK_right_max,ELBOW_BEND_left_min,ELBOW_BEND_left_max,ELBOW_BEND_right_min,ELBOW_BEND_right_max,SHOULDER_ABDUCTION_left_min,SHOULDER_ABDUCTION_left_max,SHOULDER_ABDUCTION_right_min,SHOULDER_ABDUCTION_right_max,HIP_EXTENSION_left_min,HIP_EXTENSION_left_max,HIP_EXTENSION_right_min,HIP_EXTENSION_right_max,KNEE_ANGLE_left_min,KNEE_ANGLE_left_max,KNEE_ANGLE_right_min,KNEE_ANGLE_right_max,HIP_SHOULDER_HEIGHT_left_min,HIP_SHOULDER_HEIGHT_left_max,HIP_SHOULDER_HEIGHT_right_min,HIP_SHOULDER_HEIGHT_right_max,HIP_KNEE_HEIGHT_DEADLIFT_left_min,HIP_KNEE_HEIGHT_DEADLIFT_left_max,HIP_KNEE_HEIGHT_DEADLIFT_right_min,HIP_KNEE_HEIGHT_DEADLIFT_right_max,NECK_ALIGNMENT_left_min,NECK_ALIGNMENT_left_max,NECK_ALIGNMENT_right_min,NECK_ALIGNMENT_right_max,SHIN_ANGLE_left_min,SHIN_ANGLE_left_max,SHIN_ANGLE_right_min,SHIN_ANGLE_right_max,IMPINGEMENT_RISK_left_min,IMPINGEMENT_RISK_left_max,IMPINGEMENT_RISK_right_min,IMPINGEMENT_RISK_right_max,WRIST_ELBOW_HEIGHT_left_min,WRIST_ELBOW_HEIGHT_left_max,WRIST_ELBOW_HEIGHT_right_min,WRIST_ELBOW_HEIGHT_right_max,LEG_STRAIGHTNESS_left_min,LEG_STRAIGHTNESS_left_max,LEG_STRAIGHTNESS_right_min,LEG_STRAIGHTNESS_right_max,BODY_LINE_left_min,BODY_LINE_left_max,BODY_LINE_right_min,BODY_LINE_right_max,BODY_SWING_left_min,BODY_SWING_left_max,BODY_SWING_right_min,BODY_SWING_right_max,CHIN_BAR_HEIGHT_left_min,CHIN_BAR_HEIGHT_left_max,CHIN_BAR_HEIGHT_right_min,CHIN_BAR_HEIGHT_right_max,TORSO_STABILITY_left_min,TORSO_STABILITY_left_max,TORSO_STABILITY_right_min,TORSO_STABILITY_right_max,SOFT_KNEES_left_min,SOFT_KNEES_left_max,SOFT_KNEES_right_min,SOFT_KNEES_right_max,BACK_ANGLE_VERTICAL_left_min,BACK_ANGLE_VERTICAL_left_max,BACK_ANGLE_VERTICAL_right_min,BACK_ANGLE_VERTICAL_right_max,SQUAT_DEPTH_CHECK_left_min,SQUAT_DEPTH_CHECK_left_max,SQUAT_DEPTH_CHECK_right_min,SQUAT_DEPTH_CHECK_right_max,TORSO_LEAN_left_min,TORSO_LEAN_left_max,TORSO_LEAN_right_min,TORSO_LEAN_right_max,BACK_ANGLE_HORIZONTAL_left_min,BACK_ANGLE_HORIZONTAL_left_max,BACK_ANGLE_HORIZONTAL_right_min,BACK_ANGLE_HORIZONTAL_right_max,SHOULDER_ELBOW_DEPTH_left_min,SHOULDER_ELBOW_DEPTH_left_max,SHOULDER_ELBOW_DEPTH_right_min,SHOULDER_ELBOW_DEPTH_right_max,TORSO_ARCH_left_min,TORSO_ARCH_left_max,TORSO_ARCH_right_min,TORSO_ARCH_right_max
hammer curl_14.mp4,hammer curl,87.89444400435673,175.17572786617063,92.54397430613501,174.88090259737416,0.020001636557725234,0.14687288461646886,0.05545088223604137,0.11572397342338273,9.075004249423571,20.98179635250532,5.588871692759363,12.398579156140043,10.536682266325142,32.02058533827358,19.456648888518515,32.794924774360545,127.65495917519583,154.1471421301661,96.49797600814982,142.82518557703105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench press_2.mp4,bench press,110.84146352632453,145.76771033429304,84.93278045986287,156.65161808066068,,,,,,,,,62.55816771287758,90.33021539666807,47.85700712295599,145.08454722011447,,,,,0.016520580673733642,0.08926008132397453,0.010024523210648211,0.12075580289844882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench press_1.mp4,bench press,,,73.53811926181368,162.74401703365325,,,,,,,,,,,46.70020176132518,134.66571501446154,,,,,,,0.0020723005206990776,0.10092977022670606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_2.mp4,barbell biceps curl,79.30608935462723,178.15887550467664,85.737274448991,160.38993237413507,0.09064226140562347,0.22585883386499098,0.038453492554836634,0.09866533089648528,14.932385447828135,25.80379928939655,4.696935451635563,11.832296808437095,23.519170235314075,60.62989576612718,16.63625603627278,38.38851908484828,128.95323906921655,146.90991878881533,109.19432371655452,143.9122111150315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer curl_12.mp4,hammer curl,99.03887340744213,161.20644815011485,92.12546623007665,151.6597029942326,0.13587110308968547,0.17118453664887656,0.002835386145470708,0.07020313335990871,17.18999120730529,25.046643960652688,2.284588268352025,5.081433822311064,35.31640008293401,51.670583167714085,2.3795244944027467,14.5833222470059,124.73165621040232,144.3774150201319,110.76025313241844,136.34218167690423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chest fly machine_2.mp4,chest fly machine,,,,,,,,,,,,,,,,,,,,,,,,,139.7584449688509,174.12779127446402,113.58390879172849,154.47909643192506,64.11106044860348,84.508168319735,42.88877752019323,72.62697480492548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_1.mp4,barbell biceps curl,46.87471815448252,158.61408741560473,85.13792217491134,147.52139824725873,0.02373666055758271,0.11276860432098361,0.05646958070530397,0.1821094760675072,15.42628640675226,23.741371030601236,0.9433221903816774,11.33219928261761,31.21067852230386,50.39471772035261,8.755957935320053,25.352055701656827,132.49515412157632,157.69531850254185,104.92863094337929,136.56929688295867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incline bench press_2.mp4,incline bench press,23.989216294609697,86.45500921751126,92.40511666063898,119.99131461268718,,,,,,,,,45.807782394749566,119.56961678266266,14.602720155864665,77.51398434921373,,,,,0.04059684111818127,0.28016710262875016,0.10297407211792414,0.2861934423946728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chest fly machine_1.mp4,chest fly machine,,,,,,,,,,,,,,,,,,,,,,,,,93.89640503843714,171.93314275873215,98.31918373078791,137.33527225411868,75.1415664180019,99.58227680329996,51.42103077824196,68.93469651920341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadlift_2.mp4,deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.19271827133854,155.37848559323697,51.520562737697155,172.9472936051659,87.41956319786172,153.34780703683185,86.58120759989595,166.0092251891704,0.14205869241357555,0.8984455238643267,0.32206281035509915,0.9791039800343535,-0.8393520501031355,-0.5559580508593525,-0.7163538938995695,-0.48989016927067675,0.026004538265763866,0.5287554545779289,0.10790853559127482,0.5845672305741748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hip thrust_11.mp4,hip thrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59428459982425,139.81518024670126,92.79829347863354,145.80156314479788,,,,,,,,,,,,,,,,,3.4314283916460067,26.977762783554326,3.535466906509202,12.109846458940593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadlift_1.mp4,deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.63154441837091,154.2406451827707,50.86026131334,175.33136651860474,82.16296466230023,152.9131820781103,83.73387644551362,163.6255136718519,0.15892035930879833,0.8927733743649667,0.3293081738891686,0.9768246494736021,-0.8404828770527386,-0.5456459205747926,-0.7104954055127177,-0.47287726853543377,0.026654198114919134,0.5325490802067834,0.11375873136203553,0.5876723084788693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat pulldown_2.mp4,lat pulldown,92.91001552787978,167.34686354235365,59.32778798519462,141.39625003353495,,,,,8.687336479060564,23.68710682960499,2.6628771456782334,5.490190747008771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incline bench press_1.mp4,incline bench press,,,122.94808557914737,152.6006600255916,,,,,,,,,70.1640867157559,120.52452716602313,74.42309153950602,137.52673432306585,,,,,,,0.09092869140890222,0.14483262154969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat pulldown_1.mp4,lat pulldown,75.7851020212387,172.73818422055567,77.32787576996881,147.0310235797297,,,,,2.4511207076479704,11.941666618454974,7.210735665336092,12.635600701922499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hip thrust_13.mp4,hip thrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.65516766386672,157.1572999533374,106.59086122664567,168.77132509355098,,,,,,,,,,,,,,,,,1.7238814320011882,16.327883452304615,3.1282400665084626,14.385672795781584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lateral raise_23.mp4,lateral raise,,,,,,,,,,,,,,,,,,,,,,,,,106.50348476205943,146.89821686284205,123.64874200115212,143.37126923916276,25.8051571594066,104.47347910475166,23.88488044111174,45.627741569858884,,,,,,,,,,,,,,,,,,,,,,,,,-0.042369314577387976,0.4347114907193514,0.4931543568939563,0.604356394151947,-0.03530768350008014,0.2894793867570189,0.17844015097940638,0.26049342841187917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leg raises_21.mp4,leg raises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.45610177810998,156.47166440368383,60.02671814458979,160.5671074235476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5998188418383,161.87127036020053,108.04826068057046,152.58859831495917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leg raises_20.mp4,leg raises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.70420136627416,173.7749146489636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.429074201617,152.8809336052947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plank_3.mp4,plank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007520530377901194,0.24220727484396098,0.0017372012127380156,0.20313854131491244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbp_1.mp4,decline bench press,155.0597357606735,166.0023909415886,86.88499966935265,172.42247360552824,,,,,,,,,91.69257725654708,138.30522709201531,37.67463498770556,129.73005396329165,,,,,0.17622238606364074,0.5242687347657324,0.028703324136978313,0.5201327153913047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pull up_24.mp4,pull up,46.047339115311935,137.04248428789924,48.14639264314058,160.45778571905598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.277115250374285,51.08724167965834,3.32865029563456,39.848716314987165,-0.4175465724187743,0.4880423209570609,-0.49993306869441323,0.60726999559793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leg extension_13.mp4,leg extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.16521447794663,161.02169458016422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.17007937160841,126.94995408009727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plank_4.mp4,plank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016338180512870987,0.2806133778856891,0.0009544618423516057,0.18957190800171672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pull up_23.mp4,pull up,72.30427876220458,162.51494527157044,46.65632171590792,137.1405613583909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34471488925672,63.31955529056262,7.586288392033459,66.01178072564589,-0.30182465129919994,0.5182739463598935,-0.27196114516106296,0.5070243498290975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lateral raise_24.mp4,lateral raise,,,,,,,,,,,,,,,,,,,,,,,,,161.72307777362573,175.29535672453105,163.87090247838208,175.82847187790998,25.595175138120723,107.01663159061692,19.833953836039363,85.52710085092798,,,,,,,,,,,,,,,,,,,,,,,,,-0.061552438571366934,0.41291085532567623,0.08995992718865152,0.5501025894511289,0.04230708513558342,0.44678113035271577,0.017909839199477688,0.3587528057940841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romanian deadlift_11.mp4,romanian deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.43440500209353,142.59003554135177,,,,,,,,,,,,,0.014236603054337466,0.6205109182818968,0.0021776859522154024,0.16751449579717545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.86916287749446,154.12813660422964,,,,,,,,,,,,,,,,,,,,,,,,
push-up_1.mp4,push-up,91.4012214983501,136.8480320775926,,,,,,,,,,,47.42185895210119,83.5431901328488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004525505731821741,0.10041421477952515,0.05558473860366309,0.2209093052501411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romanian deadlift_10.mp4,romanian deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.523371086808794,167.81746447541374,45.583197464485764,165.9794501530722,,,,,,,,,,,,,0.015881481795489587,0.512894023447128,0.034747055071300326,0.6928360659441976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5887446036084,158.9712124607606,107.35320893660877,174.99348356974565,,,,,,,,,,,,,,,,,,,,,,,,
push-up_2.mp4,push-up,96.68326762605766,147.9215722841767,,,,,,,,,,,31.747929662142727,74.47606540811881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008364226879938692,0.2648150902783849,0.22397306244864107,0.6140834196675016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squat_29.mp4,squat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.09834854972166,157.4514034877048,111.87952567034641,159.41497214714383,178.05117663638214,179.1265531549833,112.91860938198579,169.17019638579393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129647617349999,57.803786202225545,9.434057439454886,43.794733018079704,-0.8307388727892606,-0.7859421734762055,-0.6739772705835995,-0.4544374484497022,,,,,,,,,,,,,,,,
russian twist_12.mp4,russian twist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.83916846626425,149.20501208544636,45.694367756116264,79.61028697213824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1564061279682,89.66163282180611,17.37224358479841,87.71529540961582,,,,,,,,,,,,
t bar row_13.mp4,t bar row,154.32464070967302,162.81094852769448,136.67889012938497,165.04170645734789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056736746677068836,0.33734945112937387,0.017611354000633326,0.551423319701347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.57308939480936,123.58834025748716,,,,,,,,,,,,,55.73551948138126,72.25310390552295,56.873848546499524,76.19855932938728,,,,,,,,
tricep dips_12.mp4,tricep dips,66.29220253017692,144.039854855519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8269050549774,70.95703099305314,22.6339631110342,76.98975394759537,,,,,-0.29447676449799987,0.28230488800158593,,,,,,
tricep pushdown_34.mp4,tricep pushdown,91.73089580104747,168.64366258687588,75.23832142752642,165.89477534448991,0.07216898509615907,0.27256308114253325,0.10989588767067685,0.13469779539260807,15.969465738527669,45.74574699567086,3.7865834885665786,61.71682603108036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricep pushdown_35.mp4,tricep pushdown,105.06318951473962,176.03810390334536,70.97462511606899,169.61098797640813,0.036310611190002465,0.12724269812052436,0.131871830457163,0.22375688039954789,13.861355300583842,51.12296414972763,3.057159140832139,40.026040572716184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbp_2.MOV,decline bench press,155.13863466046223,169.4434066160723,57.88444987740504,156.4791873834357,,,,,,,,,52.869014239412564,73.10304821240108,34.75470442596954,76.72887131788931,,,,,0.07779035295567208,0.12337213481385188,0.041928491665832034,0.1504203809220837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricep dips_13.mp4,tricep dips,97.44034319830524,166.81457952621264,106.9441201749385,175.42640708420217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.127502554455084,45.097641801563114,11.4994010175716,36.84669038088771,,,,,-0.345348402351854,-0.004496605933834734,-0.5973783068362961,-0.10286733520047237,,,,
t bar row_14.mp4,t bar row,,,143.30474222807817,166.61074646980907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10277967151784569,0.427111780972574,0.06971945282562454,0.6091951519849504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.19407708326858,138.4799343015087,127.43222584261304,158.24172209217102,,,,,,,,,,,,,67.33990505694817,76.77680324497432,68.98657224310689,87.29793593032736,,,,,,,,
russian twist_13.mp4,russian twist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.978404210205426,142.97916793047224,57.725112534340546,75.36111693799697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.544804693976515,105.46113337902598,20.922861451549732,103.91458561824827,,,,,,,,,,,,
shoulder press_11.mp4,shoulder press,26.329538219825693,150.91200133531024,79.71734322781714,128.717251925236,,,,,,,,,,,,,,,,,0.0018886074423789978,0.0790248734187458,0.005796812951903718,0.05113687298111956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.313681586572523,29.934749813884522,3.0419749509143448,16.762217596419404
shoulder press_13.mp4,shoulder press,32.75875266658144,153.7346247471036,,,,,,,,,,,,,,,,,,,0.0034287214279174806,0.10547251189266675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0104251782701,22.64131082423283,8.133768348734783,17.919221736473606
squat_24.mp4,squat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.461950018834095,152.63888022425775,56.36141994531698,162.79150419831663,50.18267453230633,158.53249094088991,40.67898350357121,156.1407672914862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.539743838807664,114.7046721356368,5.138088818627178,91.22283266114744,-1.3119560172832838,0.41073133166638914,-1.2065495666532466,0.42388146801841686,,,,,,,,,,,,,,,,
